##############        GENERATION 0  ###############
0 0 ['GioNoMinimax', 'GioGenetic'] ['25', '8', '4', '* winner: upper'] -5375
0 1 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '8', '* winner: upper'] 5127
0 2 ['GioNoMinimax', 'GioGenetic'] ['25', '8', '4', '* winner: upper'] -5375
0 3 ['GioGenetic', 'GioNoMinimax'] ['31', '8', '6', '* winner: lower'] -5169
0 4 ['GioNoMinimax', 'GioGenetic'] ['28', '8', '4', '* winner: upper'] -5372
0 5 ['GioNoMinimax', 'GioGenetic'] ['28', '8', '3', '* winner: upper'] -5472
0 6 ['GioNoMinimax', 'GioGenetic'] ['27', '8', '5', '* winner: upper'] -5273
0 7 ['GioGenetic', 'GioNoMinimax'] ['25', '8', '4', '* winner: lower'] -5375
0 8 ['GioGenetic', 'GioNoMinimax'] ['34', '8', '7', '* winner: lower'] -5066
0 9 ['GioNoMinimax', 'GioGenetic'] ['27', '8', '3', '* winner: upper'] -5473
0 10 ['GioNoMinimax', 'GioGenetic'] ['28', '8', '4', '* winner: upper'] -5372
0 11 ['GioGenetic', 'GioNoMinimax'] ['21', '8', '7', '* draw: both players have an invincible token'] -1079
0 12 ['GioGenetic', 'GioNoMinimax'] ['28', '8', '7', '* winner: lower'] -5072
0 13 ['GioNoMinimax', 'GioGenetic'] ['26', '8', '6', '* winner: upper'] -5174
0 14 ['GioGenetic', 'GioNoMinimax'] ['29', '8', '4', '* winner: lower'] -5371
0 15 ['GioGenetic', 'GioNoMinimax'] ['23', '6', '8', '* winner: upper'] 5223
0 16 ['GioGenetic', 'GioNoMinimax'] ['30', '8', '5', '* winner: lower'] -5270
0 17 ['GioGenetic', 'GioNoMinimax'] ['24', '7', '8', '* winner: upper'] 5124
0 18 ['GioNoMinimax', 'GioGenetic'] ['25', '8', '3', '* winner: upper'] -5475
0 19 ['GioNoMinimax', 'GioGenetic'] ['27', '8', '5', '* winner: upper'] -5273
0 20 ['GioGenetic', 'GioNoMinimax'] ['25', '8', '2', '* winner: lower'] -5575
0 21 ['GioGenetic', 'GioNoMinimax'] ['24', '8', '3', '* winner: lower'] -5476
0 22 ['GioGenetic', 'GioNoMinimax'] ['27', '8', '4', '* winner: lower'] -5373
0 23 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '7', '* draw: both players have an invincible token'] -971
0 24 ['GioGenetic', 'GioNoMinimax'] ['25', '8', '3', '* winner: lower'] -5475
0 25 ['GioGenetic', 'GioNoMinimax'] ['28', '8', '6', '* winner: lower'] -5172
0 26 ['GioGenetic', 'GioNoMinimax'] ['30', '8', '7', '* winner: lower'] -5070
0 27 ['GioNoMinimax', 'GioGenetic'] ['23', '9', '4', '* winner: upper'] -5477
0 28 ['GioNoMinimax', 'GioGenetic'] ['25', '8', '5', '* winner: upper'] -5275
0 29 ['GioNoMinimax', 'GioGenetic'] ['28', '8', '5', '* winner: upper'] -5272
fitness value of chromosome 0 :   -119698
1 0 ['GioGenetic', 'GioNoMinimax'] ['19', '8', '4', '* winner: lower'] -5381
1 1 ['GioGenetic', 'GioNoMinimax'] ['27', '8', '6', '* winner: lower'] -5173
1 2 ['GioNoMinimax', 'GioGenetic'] ['24', '8', '5', '* winner: upper'] -5276
1 3 ['GioGenetic', 'GioNoMinimax'] ['22', '8', '3', '* winner: lower'] -5478
1 4 ['GioNoMinimax', 'GioGenetic'] ['29', '6', '8', '* winner: lower'] 5229
1 5 ['GioGenetic', 'GioNoMinimax'] ['26', '8', '4', '* winner: lower'] -5374
1 6 ['GioGenetic', 'GioNoMinimax'] ['26', '8', '4', '* winner: lower'] -5374
1 7 ['GioGenetic', 'GioNoMinimax'] ['31', '8', '6', '* winner: lower'] -5169
1 8 ['GioGenetic', 'GioNoMinimax'] ['23', '8', '1', '* winner: lower'] -5677
1 9 ['GioNoMinimax', 'GioGenetic'] ['30', '8', '6', '* winner: upper'] -5170
1 10 ['GioGenetic', 'GioNoMinimax'] ['27', '8', '5', '* winner: lower'] -5273
1 11 ['GioNoMinimax', 'GioGenetic'] ['28', '8', '6', '* winner: upper'] -5172
1 12 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '8', '* winner: lower'] 5131
1 13 ['GioGenetic', 'GioNoMinimax'] ['24', '8', '4', '* winner: lower'] -5376
1 14 ['GioGenetic', 'GioNoMinimax'] ['25', '8', '3', '* winner: lower'] -5475
1 15 ['GioGenetic', 'GioNoMinimax'] ['28', '8', '8', '* winner: upper'] 5028
1 16 ['GioGenetic', 'GioNoMinimax'] ['35', '8', '5', '* winner: lower'] -5265
1 17 ['GioGenetic', 'GioNoMinimax'] ['34', '8', '5', '* winner: lower'] -5266
1 18 ['GioNoMinimax', 'GioGenetic'] ['27', '8', '5', '* winner: upper'] -5273
1 19 ['GioNoMinimax', 'GioGenetic'] ['33', '8', '4', '* winner: upper'] -5367
1 20 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '8', '* draw: both players have an invincible token'] -873
1 21 ['GioGenetic', 'GioNoMinimax'] ['25', '7', '7', '* draw: both players have an invincible token'] -975
1 22 ['GioNoMinimax', 'GioGenetic'] ['22', '8', '2', '* winner: upper'] -5578
1 23 ['GioNoMinimax', 'GioGenetic'] ['22', '8', '4', '* winner: upper'] -5378
1 24 ['GioNoMinimax', 'GioGenetic'] ['28', '8', '6', '* winner: upper'] -5172
