##############        GENERATION 0  ###############
6 4 ['GioGenetic', 'GioNoMinimax'] ['34', '7', '0', '* winner: lower'] -5666
6 5 ['GioNoMinimax', 'GioGenetic'] ['40', '7', '5', '* winner: upper'] -5160
6 6 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '1', '* winner: upper'] -5567
6 7 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '3', '* winner: upper'] -5370
6 8 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '7', '* draw: both players have an invincible token'] -969
6 9 ['GioNoMinimax', 'GioGenetic'] ['24', '7', '2', '* winner: upper'] -5476
fitness value of chromosome 6 :   -49480
7 0 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '2', '* winner: upper'] -5467
7 1 ['GioGenetic', 'GioNoMinimax'] ['39', '7', '4', '* winner: lower'] -5261
7 2 ['GioNoMinimax', 'GioGenetic'] ['35', '7', '3', '* winner: upper'] -5365
7 3 ['GioNoMinimax', 'GioGenetic'] ['23', '7', '3', '* winner: upper'] -5377
7 4 ['GioNoMinimax', 'GioGenetic'] ['34', '7', '4', '* winner: upper'] -5266
7 5 ['GioGenetic', 'GioNoMinimax'] ['25', '6', '6', '* draw: both players have an invincible token'] -975
7 6 ['GioGenetic', 'GioNoMinimax'] ['24', '7', '1', '* winner: lower'] -5576
7 7 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '2', '* winner: upper'] -5469
7 8 ['GioNoMinimax', 'GioGenetic'] ['41', '7', '3', '* winner: upper'] -5359
7 9 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '3', '* winner: lower'] -5373
fitness value of chromosome 7 :   -49488
8 0 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '1', '* winner: lower'] -5567
8 1 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '5', '* winner: upper'] -5172
8 2 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '0', '* winner: lower'] -5673
8 3 ['GioNoMinimax', 'GioGenetic'] ['39', '7', '5', '* winner: upper'] -5161
